	Gender	Age	year	gpax	Region	previous-edu	uni-activity	influ-major	influ-people	influ-wellknown	influ-quality	influ-careermarket	E	I	S	N	T	F	J	P
925	LGBT	>23	second	B	Central	highschool-art	yes	mid	mid	high	high	high	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
926	f	23-28	completed	B	North	highschool-art	yes	mid	mid	low	low	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
927	m	>23	third	B+	NorthEast	highschool-art	yes	low	mid	mid	high	mid	Low	High	High	Low	Low	High	Mid	Mid
928	f	29-34	completed	B	North	highschool-art	yes	mid	mid	high	mid	mid	High	Low	High	Low	Mid	Mid	High	Low
929	f	>23	second	B	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
930	f	>23	first	B	Central	highschool-art	yes	mid	mid	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
931	f	>23	second	B	Central	highschool-art	yes	mid	mid	mid	high	high	Low	High	High	Low	Mid	Mid	High	Low
932	LGBT	>23	second	B	Central	highschool-art	yes	mid	high	mid	mid	mid	High	Low	Mid	Mid	High	Low	Low	High
933	LGBT	23-28	forth	B	North	vocational	yes	high	high	high	high	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
934	m	>23	second	C+	North	highschool-art	yes	mid	mid	mid	high	mid	Low	High	Low	High	Mid	Mid	Mid	Mid
935	m	23-28	first	B	Central	highschool-art	yes	mid	high	high	high	high	High	Low	Mid	Mid	Low	High	Low	High
936	f	>23	forth	B	North	highschool-art	yes	mid	mid	high	mid	high	Mid	Mid	Mid	Mid	High	Low	Low	High
937	f	>23	first	B	Central	highschool-art	yes	mid	mid	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
938	f	29-34	completed	B+	Central	highschool-art	yes	low	mid	mid	mid	mid	High	Low	High	Low	Low	High	Mid	Mid
939	f	>23	first	C+	NorthEast	highschool-art	yes	mid	low	low	mid	mid	High	Low	Mid	Mid	High	Low	High	Low
940	f	23-28	second	C+	Central	vocational	yes	mid	low	high	mid	high	Mid	Mid	Low	High	Mid	Mid	Low	High
941	f	>23	first	C	Central	highvocational	no	high	mid	mid	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
942	LGBT	23-28	first	C+	North	highschool-art	yes	mid	high	mid	low	low	Mid	Mid	Low	High	Mid	Mid	High	Low
943	f	23-28	third	B	NorthEast	highschool-art	no	low	high	high	mid	low	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
944	LGBT	>23	first	B	NorthEast	highvocational	no	mid	mid	high	mid	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
945	m	23-28	completed	B	Central	highschool-art	yes	mid	low	mid	low	mid	Mid	Mid	Mid	Mid	High	Low	High	Low
946	LGBT	>23	first	B	East	highschool-art	yes	mid	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
947	LGBT	>23	first	B	South	vocational	no	mid	high	mid	high	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
948	LGBT	23-28	first	B	South	highschool-art	yes	mid	high	mid	high	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
949	f	23-28	second	B	North	highvocational	no	mid	mid	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
950	m	23-28	second	C+	North	non-formal	no	mid	low	high	high	mid	Mid	Mid	High	Low	Low	High	High	Low
951	m	>23	second	B	North	highschool-art	no	high	low	high	mid	mid	Mid	Mid	High	Low	Low	High	Mid	Mid
952	f	>23	second	B	North	vocational	yes	high	high	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
953	f	>23	second	B	North	highschool-art	yes	mid	mid	low	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
954	m	>23	second	C+	North	vocational	yes	high	high	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
955	f	>23	second	B+	North	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	High	Low
956	m	>23	second	C+	North	vocational	yes	mid	low	low	low	mid	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
957	f	>23	second	B	North	vocational	yes	mid	mid	mid	mid	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
958	f	>23	second	C+	North	vocational	yes	mid	mid	mid	mid	low	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
959	f	>23	second	B	West	highschool-art	yes	mid	high	mid	low	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
960	f	>23	second	B	North	vocational	no	mid	low	mid	mid	low	High	Low	Mid	Mid	High	Low	Mid	Mid
961	LGBT	23-28	third	B	NorthEast	highschool-art	yes	mid	high	mid	low	low	Low	High	Mid	Mid	Low	High	Mid	Mid
962	f	>23	second	B	North	vocational	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
963	f	>23	second	B	North	highschool-art	no	low	high	mid	mid	low	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
964	f	>23	second	B	South	highschool-art	no	mid	high	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
965	m	23-28	third	B	North	vocational	yes	high	mid	high	high	mid	High	Low	High	Low	High	Low	High	Low
966	f	23-28	completed	B+	East	vocational	yes	high	high	mid	high	mid	High	Low	High	Low	High	Low	High	Low
967	m	23-28	forth	B+	East	vocational	yes	high	mid	high	mid	high	High	Low	High	Low	High	Low	High	Low
968	f	23-28	completed	A	Central	highschool-art	no	mid	high	mid	mid	high	Low	High	Mid	Mid	Low	High	Low	High
969	f	29-34	completed	C+	Central	highschool-mathsci	yes	mid	mid	mid	mid	low	Low	High	High	Low	Low	High	Mid	Mid
970	LGBT	23-28	completed	B	Central	vocational	no	high	low	low	high	mid	Mid	Mid	Low	High	High	Low	High	Low
971	f	29-34	completed	B	West	highschool-mathsci	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
972	f	35+	completed	B	Central	highschool-art	no	mid	low	low	low	mid	High	Low	Low	High	Low	High	Low	High
973	f	29-34	completed	C	East	highvocational	no	high	mid	mid	high	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
974	f	23-28	completed	B	South	vocational	yes	high	mid	mid	mid	high	High	Low	Mid	Mid	Low	High	Mid	Mid
975	m	35+	forth	C	Central	bachelor	no	low	low	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
976	m	23-28	completed	B	Central	highschool-art	yes	mid	high	mid	mid	low	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
977	m	35+	completed	C	NorthEast	highschool-mathsci	no	high	low	high	mid	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
978	f	>23	completed	B	Central	vocational	yes	high	mid	mid	mid	high	High	Low	Low	High	High	Low	Low	High
979	m	23-28	completed	B	Central	highvocational	yes	mid	low	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
980	f	>23	completed	B+	Central	highschool-art	no	mid	low	mid	mid	mid	Low	High	Low	High	Low	High	Mid	Mid
981	m	>23	forth	B	Central	highschool-art	yes	mid	low	mid	mid	mid	Low	High	Low	High	Low	High	Low	High
982	f	23-28	completed	B+	Central	highschool-mathsci	yes	high	low	low	high	high	High	Low	Low	High	Mid	Mid	High	Low
983	m	29-34	completed	B+	South	highschool-mathsci	no	high	low	high	mid	low	High	Low	Mid	Mid	Mid	Mid	High	Low
984	f	23-28	completed	B	NorthEast	highschool-mathsci	yes	high	low	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
985	m	23-28	forth	C	South	highschool-art	yes	high	high	high	high	high	Mid	Mid	Low	High	Low	High	Mid	Mid
986	m	>23	third	B	Central	highschool-art	yes	mid	mid	mid	high	high	Mid	Mid	Low	High	Low	High	Low	High
987	m	>23	forth	B	Central	highschool-art	yes	mid	low	high	high	high	High	Low	Mid	Mid	Mid	Mid	Low	High
988	m	>23	completed	B	Central	vocational	no	mid	high	mid	mid	mid	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
989	m	23-28	completed	B+	NorthEast	highschool-mathsci	yes	mid	low	low	mid	mid	High	Low	Low	High	Low	High	Low	High
990	f	>23	forth	B	NorthEast	highschool-art	yes	mid	high	mid	mid	mid	Mid	Mid	Low	High	Low	High	Low	High
991	f	23-28	completed	C	East	vocational	no	mid	low	mid	mid	low	Low	High	Low	High	Low	High	Low	High
992	f	35+	completed	C+	North	highvocational	no	high	mid	mid	high	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
993	f	23-28	completed	B	Central	highschool-art	yes	high	mid	high	high	low	Low	High	Mid	Mid	High	Low	Mid	Mid
994	f	23-28	completed	C+	Central	highschool-art	yes	mid	mid	mid	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
995	m	23-28	completed	C+	South	highschool-art	yes	high	high	high	high	high	High	Low	Low	High	Low	High	Mid	Mid
996	f	35+	completed	C	East	highschool-art	yes	high	low	mid	mid	mid	High	Low	Mid	Mid	Low	High	High	Low
997	m	29-34	completed	C+	Central	highschool-mathsci	yes	mid	low	high	high	high	High	Low	High	Low	Low	High	High	Low
998	f	23-28	completed	C+	South	highschool-mathsci	no	low	high	high	high	mid	Low	High	Mid	Mid	Low	High	Low	High
999	f	>23	third	B+	North	highschool-art	yes	high	low	mid	high	mid	Low	High	High	Low	Mid	Mid	High	Low
1000	m	>23	second	C+	West	vocational	yes	high	high	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1001	m	23-28	forth	B+	NorthEast	highvocational	yes	high	mid	high	high	mid	High	Low	High	Low	Mid	Mid	High	Low
1002	m	29-34	completed	B	North	highschool-mathsci	yes	high	mid	high	high	mid	High	Low	High	Low	High	Low	High	Low
1003	f	>23	first	C+	Central	highschool-art	yes	high	high	low	mid	high	High	Low	Mid	Mid	Mid	Mid	Low	High
1004	LGBT	>23	second	B	Central	highschool-art	yes	mid	mid	high	high	high	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
1005	f	23-28	completed	B	North	highschool-art	yes	mid	mid	low	low	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
1006	m	>23	third	B+	NorthEast	highschool-art	yes	low	mid	mid	high	mid	Low	High	High	Low	Low	High	Mid	Mid
1007	f	29-34	completed	B	North	highschool-art	yes	mid	mid	high	mid	mid	High	Low	High	Low	Mid	Mid	High	Low
1008	f	>23	second	B	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1009	f	>23	first	B	Central	highschool-art	yes	mid	mid	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1010	f	>23	second	B	Central	highschool-art	yes	mid	mid	mid	high	high	Low	High	High	Low	Mid	Mid	High	Low
1011	LGBT	>23	second	B	Central	highschool-art	yes	mid	high	mid	mid	mid	High	Low	Mid	Mid	High	Low	Low	High
1012	LGBT	23-28	forth	B	North	vocational	yes	high	high	high	high	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
1013	m	>23	second	C+	North	highschool-art	yes	mid	mid	mid	high	mid	Low	High	Low	High	Mid	Mid	Mid	Mid
1014	m	23-28	first	B	Central	highschool-art	yes	mid	high	high	high	high	High	Low	Mid	Mid	Low	High	Low	High
1015	f	>23	forth	B	North	highschool-art	yes	mid	mid	high	mid	high	Mid	Mid	Mid	Mid	High	Low	Low	High
1016	f	>23	first	B	Central	highschool-art	yes	mid	mid	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1017	f	29-34	completed	B+	Central	highschool-art	yes	low	mid	mid	mid	mid	High	Low	High	Low	Low	High	Mid	Mid
1018	f	>23	first	C+	NorthEast	highschool-art	yes	mid	low	low	mid	mid	High	Low	Mid	Mid	High	Low	High	Low
1019	f	23-28	second	C+	Central	vocational	yes	mid	low	high	mid	high	Mid	Mid	Low	High	Mid	Mid	Low	High
1020	f	>23	first	C	Central	highvocational	no	high	mid	mid	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1021	LGBT	23-28	first	C+	North	highschool-art	yes	mid	high	mid	low	low	Mid	Mid	Low	High	Mid	Mid	High	Low
1022	f	23-28	third	B	NorthEast	highschool-art	no	low	high	high	mid	low	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
1023	LGBT	>23	first	B	NorthEast	highvocational	no	mid	mid	high	mid	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
1024	m	23-28	completed	B	Central	highschool-art	yes	mid	low	mid	low	mid	Mid	Mid	Mid	Mid	High	Low	High	Low
1025	LGBT	>23	first	B	East	highschool-art	yes	mid	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
1026	LGBT	>23	first	B	South	vocational	no	mid	high	mid	high	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
1027	LGBT	23-28	first	B	South	highschool-art	yes	mid	high	mid	high	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
1028	f	23-28	second	B	North	highvocational	no	mid	mid	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1029	m	23-28	second	C+	North	non-formal	no	mid	low	high	high	mid	Mid	Mid	High	Low	Low	High	High	Low
1030	m	>23	second	B	North	highschool-art	no	high	low	high	mid	mid	Mid	Mid	High	Low	Low	High	Mid	Mid
1031	f	>23	second	B	North	vocational	yes	high	high	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
1032	f	>23	second	B	North	highschool-art	yes	mid	mid	low	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
1033	m	>23	second	C+	North	vocational	yes	high	high	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1034	f	>23	second	B+	North	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	High	Low
1035	m	>23	second	C+	North	vocational	yes	mid	low	low	low	mid	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
1036	f	>23	second	B	North	vocational	yes	mid	mid	mid	mid	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
1037	f	>23	second	C+	North	vocational	yes	mid	mid	mid	mid	low	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
1038	f	>23	second	B	West	highschool-art	yes	mid	high	mid	low	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1039	f	>23	second	B	North	vocational	no	mid	low	mid	mid	low	High	Low	Mid	Mid	High	Low	Mid	Mid
1040	LGBT	23-28	third	B	NorthEast	highschool-art	yes	mid	high	mid	low	low	Low	High	Mid	Mid	Low	High	Mid	Mid
1041	f	>23	second	B	North	vocational	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
1042	f	>23	second	B	North	highschool-art	no	low	high	mid	mid	low	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1043	f	>23	second	B	South	highschool-art	no	mid	high	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
1044	m	23-28	third	B	North	vocational	yes	high	mid	high	high	mid	High	Low	High	Low	High	Low	High	Low
1045	f	23-28	completed	B+	East	vocational	yes	high	high	mid	high	mid	High	Low	High	Low	High	Low	High	Low
1046	m	23-28	forth	B+	East	vocational	yes	high	mid	high	mid	high	High	Low	High	Low	High	Low	High	Low
1047	f	23-28	completed	A	Central	highschool-art	no	mid	high	mid	mid	high	Low	High	Mid	Mid	Low	High	Low	High
1048	f	29-34	completed	C+	Central	highschool-mathsci	yes	mid	mid	mid	mid	low	Low	High	High	Low	Low	High	Mid	Mid
1049	LGBT	23-28	completed	B	Central	vocational	no	high	low	low	high	mid	Mid	Mid	Low	High	High	Low	High	Low
1050	f	29-34	completed	B	West	highschool-mathsci	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1051	f	35+	completed	B	Central	highschool-art	no	mid	low	low	low	mid	High	Low	Low	High	Low	High	Low	High
1052	f	29-34	completed	C	East	highvocational	no	high	mid	mid	high	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
1053	f	23-28	completed	B	South	vocational	yes	high	mid	mid	mid	high	High	Low	Mid	Mid	Low	High	Mid	Mid
1054	m	35+	forth	C	Central	bachelor	no	low	low	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
1055	m	23-28	completed	B	Central	highschool-art	yes	mid	high	mid	mid	low	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
1056	m	35+	completed	C	NorthEast	highschool-mathsci	no	high	low	high	mid	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
1057	f	>23	completed	B	Central	vocational	yes	high	mid	mid	mid	high	High	Low	Low	High	High	Low	Low	High
1058	m	23-28	completed	B	Central	highvocational	yes	mid	low	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1059	f	>23	completed	B+	Central	highschool-art	no	mid	low	mid	mid	mid	Low	High	Low	High	Low	High	Mid	Mid
1060	m	>23	forth	B	Central	highschool-art	yes	mid	low	mid	mid	mid	Low	High	Low	High	Low	High	Low	High
1061	f	>23	second	B	Central	highvocational	yes	high	high	high	mid	mid	Mid	Mid	High	Low	High	Low	Mid	Mid
1062	f	23-28	forth	B	North	highvocational	yes	high	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
1063	f	>23	first	B	Central	highschool-art	yes	high	high	high	high	mid	High	Low	High	Low	Mid	Mid	High	Low
1064	m	>23	second	B	North	vocational	yes	high	mid	high	high	high	Low	High	Low	High	Mid	Mid	High	Low
1065	m	>23	first	C+	NorthEast	highschool-art	yes	mid	mid	high	high	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
1066	LGBT	>23	third	C+	West	vocational	yes	high	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1067	m	23-28	completed	B	NorthEast	highschool-art	yes	mid	mid	mid	high	mid	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
1068	m	>23	forth	B	NorthEast	highschool-art	yes	mid	mid	high	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1069	f	>23	forth	B	Central	highschool-art	yes	mid	mid	mid	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
1070	f	>23	forth	C+	Central	highschool-art	no	high	mid	mid	high	high	Mid	Mid	Low	High	Low	High	Mid	Mid
1071	m	>23	second	B	Central	highschool-art	yes	mid	mid	low	mid	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
1072	LGBT	>23	third	B	Central	highschool-art	yes	high	mid	high	mid	mid	High	Low	Mid	Mid	Low	High	High	Low
1073	f	>23	third	B	Central	highschool-art	yes	high	high	high	high	high	Mid	Mid	High	Low	High	Low	High	Low
1074	f	>23	second	C+	Central	highschool-art	no	mid	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1075	LGBT	23-28	completed	B	Central	highschool-art	yes	mid	high	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1076	f	>23	forth	C+	Central	highschool-art	yes	low	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
1077	m	>23	third	B	Central	highschool-art	yes	mid	mid	high	mid	mid	Mid	Mid	High	Low	Mid	Mid	High	Low
1078	LGBT	>23	third	B	Central	highschool-art	yes	high	mid	mid	mid	high	High	Low	Mid	Mid	High	Low	Mid	Mid
1079	f	>23	second	B	Central	highschool-art	yes	mid	mid	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	High	Low
1080	f	>23	first	B	North	highschool-art	yes	mid	high	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1081	LGBT	>23	second	B	North	highschool-art	yes	high	high	high	high	high	High	Low	Low	High	Mid	Mid	Mid	Mid
1082	f	>23	first	B	East	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1083	m	>23	third	B	East	highschool-art	yes	mid	low	mid	high	high	Low	High	High	Low	Mid	Mid	High	Low
1084	m	>23	forth	C+	Central	highschool-art	yes	mid	high	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
1085	f	>23	second	B	Central	highschool-art	yes	mid	mid	mid	high	high	High	Low	Low	High	High	Low	High	Low
1086	f	>23	second	B	Central	highschool-art	no	mid	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	High	Low
1087	f	>23	second	B	NorthEast	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
1088	f	29-34	completed	B	NorthEast	highschool-art	yes	mid	mid	mid	high	high	High	Low	High	Low	High	Low	High	Low
1089	f	23-28	completed	B	NorthEast	highschool-art	yes	mid	high	mid	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
1090	LGBT	>23	third	B	North	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Low	High	Low	High	Mid	Mid
1091	f	>23	first	C+	NorthEast	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
1092	m	>23	second	B	Central	highschool-art	yes	mid	mid	mid	mid	high	High	Low	High	Low	High	Low	Mid	Mid
1093	m	>23	second	C+	Central	highschool-art	yes	high	high	mid	mid	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
1094	f	23-28	first	C+	North	highschool-art	no	low	low	mid	mid	mid	Mid	Mid	High	Low	Low	High	Mid	Mid
1095	LGBT	>23	second	C+	NorthEast	highschool-art	no	high	low	high	mid	mid	Mid	Mid	Mid	Mid	Low	High	High	Low
1096	f	23-28	first	C+	NorthEast	highschool-art	no	mid	low	high	mid	high	Mid	Mid	Mid	Mid	Low	High	High	Low
1097	LGBT	23-28	first	B	NorthEast	highschool-art	no	mid	mid	high	mid	high	Mid	Mid	Low	High	High	Low	Mid	Mid
1098	f	>23	second	B	Central	vocational	no	mid	high	high	mid	mid	Low	High	High	Low	Low	High	High	Low
1099	f	23-28	forth	B	Central	highschool-art	no	mid	mid	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
1100	f	23-28	second	B	Central	highschool-art	yes	high	high	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	Low	High
1101	f	23-28	completed	B+	South	highschool-art	no	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1102	f	>23	second	B	North	non-formal	no	high	low	high	mid	mid	Low	High	Mid	Mid	Mid	Mid	Low	High
1103	LGBT	>23	third	B+	North	highschool-mathsci	yes	high	low	high	high	high	High	Low	Mid	Mid	High	Low	Mid	Mid
1104	m	23-28	forth	B+	North	highschool-art	yes	high	high	mid	high	high	High	Low	High	Low	Low	High	High	Low
1105	m	>23	completed	B+	West	highschool-art	no	mid	low	mid	mid	mid	Low	High	Mid	Mid	Low	High	Mid	Mid
1106	LGBT	>23	third	C+	NorthEast	highschool-art	yes	mid	high	mid	low	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
1107	m	>23	second	B	North	highschool-mathsci	yes	high	low	high	high	mid	High	Low	High	Low	High	Low	High	Low
1108	LGBT	23-28	forth	B+	Central	vocational	yes	high	low	mid	high	mid	High	Low	Mid	Mid	High	Low	High	Low
1109	f	>23	second	B	North	vocational	yes	high	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
1110	f	>23	second	C+	North	highschool-mathsci	yes	high	high	high	high	mid	High	Low	High	Low	High	Low	High	Low
1111	f	>23	second	B	NorthEast	highschool-art	no	high	low	high	low	mid	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
1112	f	>23	first	B	South	highschool-art	no	high	low	high	high	low	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
1113	f	>23	first	B	South	highschool-art	no	high	mid	high	high	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
1114	f	>23	first	B	West	highschool-art	no	mid	high	high	high	low	Low	High	Mid	Mid	High	Low	Mid	Mid
1115	f	>23	first	B	Central	highschool-art	no	mid	high	mid	low	low	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1116	LGBT	>23	second	B+	Central	highschool-art	yes	high	high	high	high	high	High	Low	High	Low	High	Low	High	Low
1117	f	>23	first	B	Central	highschool-mathsci	no	mid	mid	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
1118	LGBT	>23	second	B	Central	highvocational	yes	high	mid	mid	mid	mid	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
1119	f	>23	second	B	Central	highvocational	yes	high	high	high	high	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
1120	LGBT	23-28	forth	B	Central	vocational	yes	high	high	high	mid	mid	High	Low	High	Low	High	Low	High	Low
1121	f	23-28	second	B	Central	highvocational	yes	mid	high	high	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
1122	f	23-28	third	B	Central	vocational	yes	mid	mid	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
1123	f	>23	third	B	North	highschool-art	yes	mid	mid	low	low	high	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
1124	m	>23	third	C+	North	highschool-art	yes	low	mid	mid	mid	mid	Mid	Mid	High	Low	Mid	Mid	High	Low
1125	f	>23	third	B	North	highschool-art	yes	mid	mid	low	mid	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
1126	m	>23	third	B	North	highschool-art	yes	mid	low	low	mid	mid	High	Low	Mid	Mid	High	Low	High	Low
1127	m	>23	third	C+	North	highschool-art	yes	mid	mid	mid	low	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1128	f	>23	third	B	North	highschool-art	yes	low	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
1129	f	>23	third	B	North	highschool-art	yes	low	low	mid	mid	mid	High	Low	High	Low	High	Low	High	Low
1130	f	>23	third	C+	North	highschool-art	yes	mid	mid	low	mid	mid	Mid	Mid	Mid	Mid	High	Low	Low	High
1131	f	>23	third	B	North	highschool-art	yes	mid	mid	mid	mid	high	Low	High	Low	High	Mid	Mid	Mid	Mid
1132	f	>23	third	B	North	highschool-art	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
1133	f	>23	third	B	NorthEast	highschool-art	yes	mid	high	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
1134	f	>23	third	B	NorthEast	highschool-art	yes	high	high	mid	mid	low	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
1135	f	>23	third	B	NorthEast	highschool-art	no	low	mid	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1136	f	>23	third	B	NorthEast	highschool-art	yes	mid	low	low	low	mid	Mid	Mid	Low	High	Mid	Mid	Low	High
1137	f	>23	third	B+	NorthEast	highschool-art	yes	low	low	mid	mid	mid	High	Low	Low	High	High	Low	High	Low
1138	f	>23	third	B	NorthEast	highschool-art	yes	mid	mid	mid	high	mid	Mid	Mid	Mid	Mid	Low	High	Low	High
1139	f	>23	third	B	NorthEast	highschool-art	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
1140	LGBT	>23	third	B	NorthEast	highschool-art	yes	mid	mid	mid	low	low	High	Low	Mid	Mid	High	Low	High	Low
1141	LGBT	>23	third	C+	NorthEast	highschool-art	yes	low	mid	low	high	mid	High	Low	Low	High	High	Low	Mid	Mid
1142	LGBT	>23	third	B	NorthEast	highschool-art	no	low	low	low	high	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
1143	m	>23	first	B+	Central	vocational	yes	high	mid	high	mid	mid	High	Low	Low	High	High	Low	High	Low
