Gender	Age	major	year	gpax	Region	previous-edu	uni-activity	influ-major	influ-people	influ-wellknown	influ-quality	influ-careermarket	E	I	S	N	T	F	J	P
f	>23	Arts & Humanities	third	B	Central	highschool-mathsci	yes	high	mid	low	mid	high	Low	Mid	Mid	Mid	Mid	Mid	Low	High
m	>23	Business and Law	first	C+	Central	vocational	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	>23	Business and Law	first	B	South	highschool-art	yes	high	mid	mid	high	high	Low	High	Low	Low	Mid	Mid	Mid	Mid
f	>23	Business and Law	first	B	East	highschool-art	yes	mid	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Low	Mid	Mid
m	>23	Business and Law	first	B+	Central	vocational	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Low	Mid	Low
f	>23	Business and Law	second	B+	North	vocational	yes	mid	high	high	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Business and Law	first	B	East	highschool-mathsci	no	high	low	mid	high	high	Low	Mid	Mid	Mid	Mid	Mid	Mid	Low
f	>23	Business and Law	first	B	North	highschool-mathsci	no	mid	high	mid	mid	high	Low	Mid	Mid	Mid	Mid	Low	High	Low
f	>23	Arts & Humanities	completed	B+	Central	highschool-art	yes	mid	mid	high	high	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	ICTs	first	C	Central	highschool-art	yes	mid	high	high	mid	high	Mid	Mid	Mid	Mid	Mid	Low	Mid	Low
m	>23	Arts & Humanities	forth	B	Central	highschool-art	no	mid	low	high	high	mid	Mid	Mid	Low	Low	Mid	Low	High	Low
f	>23	Business and Law	second	B+	Central	vocational	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Low
m	>23	Business and Law	first	B	North	highschool-art	yes	high	mid	mid	high	high	Mid	Mid	Low	Low	Mid	Mid	Low	High
f	>23	Arts & Humanities	completed	B	West	highschool-mathsci	yes	mid	mid	mid	mid	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
LGBT	29-34	Social sciences & Journal	completed	C+	Central	highschool-art	no	high	high	high	mid	high	Low	High	Mid	Mid	Mid	Low	High	Low
m	>23	ICTs	second	C	Central	highschool-art	yes	mid	high	mid	mid	high	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
f	>23	Arts & Humanities	second	B	Central	highschool-art	no	mid	high	high	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Low	Mid
f	>23	Business and Law	first	B+	Central	vocational	yes	mid	high	high	mid	high	Mid	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Business and Law	first	B	NorthEast	vocational	no	mid	low	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Low
LGBT	>23	Arts & Humanities	completed	B	East	highschool-mathsci	no	high	mid	mid	mid	mid	Mid	Mid	Low	Low	Mid	Low	Mid	Mid
m	>23	ICTs	first	C+	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Low	High	High	Mid	Mid	Mid	Mid
f	35+	Social sciences & Journal	completed	B	Central	highschool-art	no	high	high	high	high	high	Mid	Low	Low	Low	Low	Mid	Low	Mid
f	>23	Business and Law	first	B	Central	highschool-mathsci	no	mid	mid	mid	mid	high	Mid	Mid	Low	Low	Mid	Mid	Low	Mid
m	>23	Business and Law	first	C+	Central	highschool-art	yes	mid	high	low	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
m	>23	Business and Law	first	B	NorthEast	highschool-art	no	mid	low	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Business and Law	second	C	West	highschool-art	yes	mid	high	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Low
m	23-28	ICTs	second	D+	Central	non-formal	yes	high	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	23-28	Social sciences & Journal	first	B+	Central	highschool-mathsci	yes	mid	mid	mid	mid	high	Low	Mid	Mid	Mid	Mid	Low	High	Low
f	>23	Social sciences & Journal	third	B+	North	highschool-art	yes	high	low	mid	high	mid	Low	High	High	Low	Mid	Mid	High	Low
m	>23	Social sciences & Journal	second	C+	West	vocational	yes	high	high	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	23-28	Social sciences & Journal	forth	B+	NorthEast	highvocational	yes	high	mid	high	high	mid	High	Low	High	Low	Mid	Mid	High	Low
m	29-34	Social sciences & Journal	completed	B	North	highschool-mathsci	yes	high	mid	high	high	mid	High	Low	High	Low	High	Low	High	Low
f	>23	Social sciences & Journal	first	C+	Central	highschool-art	yes	high	high	low	mid	high	High	Low	Mid	Mid	Mid	Mid	Low	High
LGBT	>23	Social sciences & Journal	second	B	Central	highschool-art	yes	mid	mid	high	high	high	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
f	23-28	Social sciences & Journal	completed	B	North	highschool-art	yes	mid	mid	low	low	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
m	>23	Social sciences & Journal	third	B+	NorthEast	highschool-art	yes	low	mid	mid	high	mid	Low	High	High	Low	Low	High	Mid	Mid
f	29-34	Social sciences & Journal	completed	B	North	highschool-art	yes	mid	mid	high	mid	mid	High	Low	High	Low	Mid	Mid	High	Low
f	>23	Social sciences & Journal	second	B	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	first	B	Central	highschool-art	yes	mid	mid	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	second	B	Central	highschool-art	yes	mid	mid	mid	high	high	Low	High	High	Low	Mid	Mid	High	Low
LGBT	>23	Social sciences & Journal	second	B	Central	highschool-art	yes	mid	high	mid	mid	mid	High	Low	Mid	Mid	High	Low	Low	High
LGBT	23-28	Social sciences & Journal	forth	B	North	vocational	yes	high	high	high	high	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
m	>23	Social sciences & Journal	second	C+	North	highschool-art	yes	mid	mid	mid	high	mid	Low	High	Low	High	Mid	Mid	Mid	Mid
m	23-28	Social sciences & Journal	first	B	Central	highschool-art	yes	mid	high	high	high	high	High	Low	Mid	Mid	Low	High	Low	High
f	>23	Social sciences & Journal	forth	B	North	highschool-art	yes	mid	mid	high	mid	high	Mid	Mid	Mid	Mid	High	Low	Low	High
f	>23	Social sciences & Journal	first	B	Central	highschool-art	yes	mid	mid	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	29-34	Social sciences & Journal	completed	B+	Central	highschool-art	yes	low	mid	mid	mid	mid	High	Low	High	Low	Low	High	Mid	Mid
f	>23	Social sciences & Journal	first	C+	NorthEast	highschool-art	yes	mid	low	low	mid	mid	High	Low	Mid	Mid	High	Low	High	Low
f	23-28	Social sciences & Journal	second	C+	Central	vocational	yes	mid	low	high	mid	high	Mid	Mid	Low	High	Mid	Mid	Low	High
f	>23	Social sciences & Journal	first	C	Central	highvocational	no	high	mid	mid	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
LGBT	23-28	Social sciences & Journal	first	C+	North	highschool-art	yes	mid	high	mid	low	low	Mid	Mid	Low	High	Mid	Mid	High	Low
f	23-28	Social sciences & Journal	third	B	NorthEast	highschool-art	no	low	high	high	mid	low	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
LGBT	>23	Social sciences & Journal	first	B	NorthEast	highvocational	no	mid	mid	high	mid	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
m	23-28	Social sciences & Journal	completed	B	Central	highschool-art	yes	mid	low	mid	low	mid	Mid	Mid	Mid	Mid	High	Low	High	Low
LGBT	>23	Social sciences & Journal	first	B	East	highschool-art	yes	mid	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
LGBT	>23	Social sciences & Journal	first	B	South	vocational	no	mid	high	mid	high	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
LGBT	23-28	Social sciences & Journal	first	B	South	highschool-art	yes	mid	high	mid	high	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
f	23-28	Social sciences & Journal	second	B	North	highvocational	no	mid	mid	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	23-28	Social sciences & Journal	second	C+	North	non-formal	no	mid	low	high	high	mid	Mid	Mid	High	Low	Low	High	High	Low
m	>23	Social sciences & Journal	second	B	North	highschool-art	no	high	low	high	mid	mid	Mid	Mid	High	Low	Low	High	Mid	Mid
f	>23	Social sciences & Journal	second	B	North	vocational	yes	high	high	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
f	>23	Social sciences & Journal	second	B	North	highschool-art	yes	mid	mid	low	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	>23	Social sciences & Journal	second	C+	North	vocational	yes	high	high	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	second	B+	North	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	High	Low
m	>23	Social sciences & Journal	second	C+	North	vocational	yes	mid	low	low	low	mid	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	second	B	North	vocational	yes	mid	mid	mid	mid	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	second	C+	North	vocational	yes	mid	mid	mid	mid	low	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Social sciences & Journal	second	B	West	highschool-art	yes	mid	high	mid	low	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	second	B	North	vocational	no	mid	low	mid	mid	low	High	Low	Mid	Mid	High	Low	Mid	Mid
LGBT	23-28	Social sciences & Journal	third	B	NorthEast	highschool-art	yes	mid	high	mid	low	low	Low	High	Mid	Mid	Low	High	Mid	Mid
f	>23	Social sciences & Journal	second	B	North	vocational	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Social sciences & Journal	second	B	North	highschool-art	no	low	high	mid	mid	low	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	second	B	South	highschool-art	no	mid	high	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
m	23-28	Social sciences & Journal	third	B	North	vocational	yes	high	mid	high	high	mid	High	Low	High	Low	High	Low	High	Low
f	23-28	Social sciences & Journal	completed	B+	East	vocational	yes	high	high	mid	high	mid	High	Low	High	Low	High	Low	High	Low
m	23-28	Social sciences & Journal	forth	B+	East	vocational	yes	high	mid	high	mid	high	High	Low	High	Low	High	Low	High	Low
f	23-28	Social sciences & Journal	completed	A	Central	highschool-art	no	mid	high	mid	mid	high	Low	High	Mid	Mid	Low	High	Low	High
f	29-34	Social sciences & Journal	completed	C+	Central	highschool-mathsci	yes	mid	mid	mid	mid	low	Low	High	High	Low	Low	High	Mid	Mid
LGBT	23-28	Social sciences & Journal	completed	B	Central	vocational	no	high	low	low	high	mid	Mid	Mid	Low	High	High	Low	High	Low
f	29-34	Social sciences & Journal	completed	B	West	highschool-mathsci	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	35+	Social sciences & Journal	completed	B	Central	highschool-art	no	mid	low	low	low	mid	High	Low	Low	High	Low	High	Low	High
f	29-34	Social sciences & Journal	completed	C	East	highvocational	no	high	mid	mid	high	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
f	23-28	Social sciences & Journal	completed	B	South	vocational	yes	high	mid	mid	mid	high	High	Low	Mid	Mid	Low	High	Mid	Mid
m	35+	Social sciences & Journal	forth	C	Central	bachelor	no	low	low	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
m	23-28	Social sciences & Journal	completed	B	Central	highschool-art	yes	mid	high	mid	mid	low	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
m	35+	Social sciences & Journal	completed	C	NorthEast	highschool-mathsci	no	high	low	high	mid	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
f	>23	Social sciences & Journal	completed	B	Central	vocational	yes	high	mid	mid	mid	high	High	Low	Low	High	High	Low	Low	High
m	23-28	Social sciences & Journal	completed	B	Central	highvocational	yes	mid	low	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	completed	B+	Central	highschool-art	no	mid	low	mid	mid	mid	Low	High	Low	High	Low	High	Mid	Mid
m	>23	Social sciences & Journal	forth	B	Central	highschool-art	yes	mid	low	mid	mid	mid	Low	High	Low	High	Low	High	Low	High
f	23-28	Social sciences & Journal	completed	B+	Central	highschool-mathsci	yes	high	low	low	high	high	High	Low	Low	High	Mid	Mid	High	Low
m	29-34	Social sciences & Journal	completed	B+	South	highschool-mathsci	no	high	low	high	mid	low	High	Low	Mid	Mid	Mid	Mid	High	Low
f	23-28	Social sciences & Journal	completed	B	NorthEast	highschool-mathsci	yes	high	low	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
m	23-28	Social sciences & Journal	forth	C	South	highschool-art	yes	high	high	high	high	high	Mid	Mid	Low	High	Low	High	Mid	Mid
m	>23	Social sciences & Journal	third	B	Central	highschool-art	yes	mid	mid	mid	high	high	Mid	Mid	Low	High	Low	High	Low	High
m	>23	Social sciences & Journal	forth	B	Central	highschool-art	yes	mid	low	high	high	high	High	Low	Mid	Mid	Mid	Mid	Low	High
m	>23	Social sciences & Journal	completed	B	Central	vocational	no	mid	high	mid	mid	mid	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
m	23-28	Social sciences & Journal	completed	B+	NorthEast	highschool-mathsci	yes	mid	low	low	mid	mid	High	Low	Low	High	Low	High	Low	High
f	>23	Social sciences & Journal	forth	B	NorthEast	highschool-art	yes	mid	high	mid	mid	mid	Mid	Mid	Low	High	Low	High	Low	High
f	23-28	Social sciences & Journal	completed	C	East	vocational	no	mid	low	mid	mid	low	Low	High	Low	High	Low	High	Low	High
f	35+	Social sciences & Journal	completed	C+	North	highvocational	no	high	mid	mid	high	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
f	23-28	Social sciences & Journal	completed	B	Central	highschool-art	yes	high	mid	high	high	low	Low	High	Mid	Mid	High	Low	Mid	Mid
f	23-28	Social sciences & Journal	completed	C+	Central	highschool-art	yes	mid	mid	mid	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
m	23-28	Social sciences & Journal	completed	C+	South	highschool-art	yes	high	high	high	high	high	High	Low	Low	High	Low	High	Mid	Mid
f	35+	Social sciences & Journal	completed	C	East	highschool-art	yes	high	low	mid	mid	mid	High	Low	Mid	Mid	Low	High	High	Low
m	29-34	Social sciences & Journal	completed	C+	Central	highschool-mathsci	yes	mid	low	high	high	high	High	Low	High	Low	Low	High	High	Low
f	23-28	Social sciences & Journal	completed	C+	South	highschool-mathsci	no	low	high	high	high	mid	Low	High	Mid	Mid	Low	High	Low	High
f	>23	Social sciences & Journal	third	B+	North	highschool-art	yes	high	low	mid	high	mid	Low	High	High	Low	Mid	Mid	High	Low
m	>23	Social sciences & Journal	second	C+	West	vocational	yes	high	high	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	23-28	Social sciences & Journal	forth	B+	NorthEast	highvocational	yes	high	mid	high	high	mid	High	Low	High	Low	Mid	Mid	High	Low
m	29-34	Social sciences & Journal	completed	B	North	highschool-mathsci	yes	high	mid	high	high	mid	High	Low	High	Low	High	Low	High	Low
f	>23	Social sciences & Journal	first	C+	Central	highschool-art	yes	high	high	low	mid	high	High	Low	Mid	Mid	Mid	Mid	Low	High
LGBT	>23	Social sciences & Journal	second	B	Central	highschool-art	yes	mid	mid	high	high	high	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
f	23-28	Social sciences & Journal	completed	B	North	highschool-art	yes	mid	mid	low	low	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
m	>23	Social sciences & Journal	third	B+	NorthEast	highschool-art	yes	low	mid	mid	high	mid	Low	High	High	Low	Low	High	Mid	Mid
f	29-34	Social sciences & Journal	completed	B	North	highschool-art	yes	mid	mid	high	mid	mid	High	Low	High	Low	Mid	Mid	High	Low
f	>23	Social sciences & Journal	second	B	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	first	B	Central	highschool-art	yes	mid	mid	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	second	B	Central	highschool-art	yes	mid	mid	mid	high	high	Low	High	High	Low	Mid	Mid	High	Low
LGBT	>23	Social sciences & Journal	second	B	Central	highschool-art	yes	mid	high	mid	mid	mid	High	Low	Mid	Mid	High	Low	Low	High
LGBT	23-28	Social sciences & Journal	forth	B	North	vocational	yes	high	high	high	high	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
m	>23	Social sciences & Journal	second	C+	North	highschool-art	yes	mid	mid	mid	high	mid	Low	High	Low	High	Mid	Mid	Mid	Mid
m	23-28	Social sciences & Journal	first	B	Central	highschool-art	yes	mid	high	high	high	high	High	Low	Mid	Mid	Low	High	Low	High
f	>23	Social sciences & Journal	forth	B	North	highschool-art	yes	mid	mid	high	mid	high	Mid	Mid	Mid	Mid	High	Low	Low	High
f	>23	Social sciences & Journal	first	B	Central	highschool-art	yes	mid	mid	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	29-34	Social sciences & Journal	completed	B+	Central	highschool-art	yes	low	mid	mid	mid	mid	High	Low	High	Low	Low	High	Mid	Mid
f	>23	Social sciences & Journal	first	C+	NorthEast	highschool-art	yes	mid	low	low	mid	mid	High	Low	Mid	Mid	High	Low	High	Low
f	23-28	Social sciences & Journal	second	C+	Central	vocational	yes	mid	low	high	mid	high	Mid	Mid	Low	High	Mid	Mid	Low	High
f	>23	Social sciences & Journal	first	C	Central	highvocational	no	high	mid	mid	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
LGBT	23-28	Social sciences & Journal	first	C+	North	highschool-art	yes	mid	high	mid	low	low	Mid	Mid	Low	High	Mid	Mid	High	Low
f	23-28	Social sciences & Journal	third	B	NorthEast	highschool-art	no	low	high	high	mid	low	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
LGBT	>23	Social sciences & Journal	first	B	NorthEast	highvocational	no	mid	mid	high	mid	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
m	23-28	Social sciences & Journal	completed	B	Central	highschool-art	yes	mid	low	mid	low	mid	Mid	Mid	Mid	Mid	High	Low	High	Low
LGBT	>23	Social sciences & Journal	first	B	East	highschool-art	yes	mid	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
LGBT	>23	Social sciences & Journal	first	B	South	vocational	no	mid	high	mid	high	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
LGBT	23-28	Social sciences & Journal	first	B	South	highschool-art	yes	mid	high	mid	high	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
f	23-28	Social sciences & Journal	second	B	North	highvocational	no	mid	mid	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	23-28	Social sciences & Journal	second	C+	North	non-formal	no	mid	low	high	high	mid	Mid	Mid	High	Low	Low	High	High	Low
m	>23	Social sciences & Journal	second	B	North	highschool-art	no	high	low	high	mid	mid	Mid	Mid	High	Low	Low	High	Mid	Mid
f	>23	Social sciences & Journal	second	B	North	vocational	yes	high	high	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
f	>23	Social sciences & Journal	second	B	North	highschool-art	yes	mid	mid	low	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	>23	Social sciences & Journal	second	C+	North	vocational	yes	high	high	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	second	B+	North	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	High	Low
m	>23	Social sciences & Journal	second	C+	North	vocational	yes	mid	low	low	low	mid	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	second	B	North	vocational	yes	mid	mid	mid	mid	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	second	C+	North	vocational	yes	mid	mid	mid	mid	low	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Social sciences & Journal	second	B	West	highschool-art	yes	mid	high	mid	low	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	second	B	North	vocational	no	mid	low	mid	mid	low	High	Low	Mid	Mid	High	Low	Mid	Mid
LGBT	23-28	Social sciences & Journal	third	B	NorthEast	highschool-art	yes	mid	high	mid	low	low	Low	High	Mid	Mid	Low	High	Mid	Mid
f	>23	Social sciences & Journal	second	B	North	vocational	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Social sciences & Journal	second	B	North	highschool-art	no	low	high	mid	mid	low	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	second	B	South	highschool-art	no	mid	high	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
m	23-28	Social sciences & Journal	third	B	North	vocational	yes	high	mid	high	high	mid	High	Low	High	Low	High	Low	High	Low
f	23-28	Social sciences & Journal	completed	B+	East	vocational	yes	high	high	mid	high	mid	High	Low	High	Low	High	Low	High	Low
m	23-28	Social sciences & Journal	forth	B+	East	vocational	yes	high	mid	high	mid	high	High	Low	High	Low	High	Low	High	Low
f	23-28	Social sciences & Journal	completed	A	Central	highschool-art	no	mid	high	mid	mid	high	Low	High	Mid	Mid	Low	High	Low	High
f	29-34	Social sciences & Journal	completed	C+	Central	highschool-mathsci	yes	mid	mid	mid	mid	low	Low	High	High	Low	Low	High	Mid	Mid
LGBT	23-28	Social sciences & Journal	completed	B	Central	vocational	no	high	low	low	high	mid	Mid	Mid	Low	High	High	Low	High	Low
f	29-34	Social sciences & Journal	completed	B	West	highschool-mathsci	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	35+	Social sciences & Journal	completed	B	Central	highschool-art	no	mid	low	low	low	mid	High	Low	Low	High	Low	High	Low	High
f	29-34	Social sciences & Journal	completed	C	East	highvocational	no	high	mid	mid	high	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
f	23-28	Social sciences & Journal	completed	B	South	vocational	yes	high	mid	mid	mid	high	High	Low	Mid	Mid	Low	High	Mid	Mid
m	35+	Social sciences & Journal	forth	C	Central	bachelor	no	low	low	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
m	23-28	Social sciences & Journal	completed	B	Central	highschool-art	yes	mid	high	mid	mid	low	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
m	35+	Social sciences & Journal	completed	C	NorthEast	highschool-mathsci	no	high	low	high	mid	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
f	>23	Social sciences & Journal	completed	B	Central	vocational	yes	high	mid	mid	mid	high	High	Low	Low	High	High	Low	Low	High
m	23-28	Social sciences & Journal	completed	B	Central	highvocational	yes	mid	low	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Social sciences & Journal	completed	B+	Central	highschool-art	no	mid	low	mid	mid	mid	Low	High	Low	High	Low	High	Mid	Mid
m	>23	Social sciences & Journal	forth	B	Central	highschool-art	yes	mid	low	mid	mid	mid	Low	High	Low	High	Low	High	Low	High
f	>23	Arts & Humanities	second	B	Central	highvocational	yes	high	high	high	mid	mid	Mid	Mid	High	Low	High	Low	Mid	Mid
f	23-28	Arts & Humanities	forth	B	North	highvocational	yes	high	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Arts & Humanities	first	B	Central	highschool-art	yes	high	high	high	high	mid	High	Low	High	Low	Mid	Mid	High	Low
m	>23	Arts & Humanities	second	B	North	vocational	yes	high	mid	high	high	high	Low	High	Low	High	Mid	Mid	High	Low
m	>23	Arts & Humanities	first	C+	NorthEast	highschool-art	yes	mid	mid	high	high	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
LGBT	>23	Arts & Humanities	third	C+	West	vocational	yes	high	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	23-28	Arts & Humanities	completed	B	NorthEast	highschool-art	yes	mid	mid	mid	high	mid	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
m	>23	Arts & Humanities	forth	B	NorthEast	highschool-art	yes	mid	mid	high	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Arts & Humanities	forth	B	Central	highschool-art	yes	mid	mid	mid	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Arts & Humanities	forth	C+	Central	highschool-art	no	high	mid	mid	high	high	Mid	Mid	Low	High	Low	High	Mid	Mid
m	>23	Arts & Humanities	second	B	Central	highschool-art	yes	mid	mid	low	mid	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
LGBT	>23	Arts & Humanities	third	B	Central	highschool-art	yes	high	mid	high	mid	mid	High	Low	Mid	Mid	Low	High	High	Low
f	>23	Arts & Humanities	third	B	Central	highschool-art	yes	high	high	high	high	high	Mid	Mid	High	Low	High	Low	High	Low
f	>23	Arts & Humanities	second	C+	Central	highschool-art	no	mid	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
LGBT	23-28	Arts & Humanities	completed	B	Central	highschool-art	yes	mid	high	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Arts & Humanities	forth	C+	Central	highschool-art	yes	low	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
m	>23	Arts & Humanities	third	B	Central	highschool-art	yes	mid	mid	high	mid	mid	Mid	Mid	High	Low	Mid	Mid	High	Low
LGBT	>23	Arts & Humanities	third	B	Central	highschool-art	yes	high	mid	mid	mid	high	High	Low	Mid	Mid	High	Low	Mid	Mid
f	>23	Arts & Humanities	second	B	Central	highschool-art	yes	mid	mid	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	High	Low
f	>23	Arts & Humanities	first	B	North	highschool-art	yes	mid	high	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
LGBT	>23	Arts & Humanities	second	B	North	highschool-art	yes	high	high	high	high	high	High	Low	Low	High	Mid	Mid	Mid	Mid
f	>23	Arts & Humanities	first	B	East	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Arts & Humanities	third	B	East	highschool-art	yes	mid	low	mid	high	high	Low	High	High	Low	Mid	Mid	High	Low
m	>23	Arts & Humanities	forth	C+	Central	highschool-art	yes	mid	high	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
f	>23	Arts & Humanities	second	B	Central	highschool-art	yes	mid	mid	mid	high	high	High	Low	Low	High	High	Low	High	Low
f	>23	Arts & Humanities	second	B	Central	highschool-art	no	mid	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	High	Low
f	>23	Arts & Humanities	second	B	NorthEast	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
f	29-34	Arts & Humanities	completed	B	NorthEast	highschool-art	yes	mid	mid	mid	high	high	High	Low	High	Low	High	Low	High	Low
f	23-28	Arts & Humanities	completed	B	NorthEast	highschool-art	yes	mid	high	mid	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
