sex,Age,major group3,year,gpax,Region,previous-edu,uni-activity,influ-major,influ-people,influ-wellknown,influ-quality,influ-careermarket,TYPE
f,29-34,Engineer & Industrial,completed,C+,Central,highschool-mathsci,no,high,mid,mid,high,high,ENTJ
f,29-34,Social sciences & Journal,completed,B,West,highschool-mathsci,yes,mid,low,mid,mid,mid,ISFJ
f,35+,Social sciences & Journal,completed,B,Central,highschool-art,no,mid,low,low,low,mid,ENFP
f,29-34,Health ,completed,C+,Central,highschool-mathsci,yes,low,low,mid,mid,mid,ENFJ
m,29-34,Engineer & Industrial,completed,C+,NorthEast,highschool-mathsci,yes,high,low,low,mid,high,INTJ
m,23-28,Engineer & Industrial,completed,B,Central,highschool-mathsci,no,high,mid,high,mid,high,INFJ
m,29-34,Engineer & Industrial,completed,C,Central,highvocational,yes,high,high,high,high,high,ENTJ
f,29-34,Engineer & Industrial,completed,C+,Central,highschool-mathsci,no,high,low,mid,mid,mid,ESTP
f,>23,Health ,forth,B+,Central,highschool-mathsci,yes,high,mid,mid,high,mid,ENFJ
m,35+,Engineer & Industrial,completed,B,East,highschool-mathsci,no,high,mid,high,mid,mid,ESTP
f,23-28,Education,completed,B+,NorthEast,highschool-mathsci,yes,high,high,mid,high,mid,INFJ
f,>23,Business and Law,third,B+,NorthEast,highschool-mathsci,no,high,low,high,low,high,ENTP
m,23-28,Health ,completed,C+,Central,highschool-mathsci,yes,high,mid,low,mid,mid,ESFP
m,29-34,Engineer & Industrial,completed,C+,Central,highschool-mathsci,no,high,mid,high,high,high,ESFP
f,23-28,Arts & Humanities,completed,B,NorthEast,highschool-mathsci,yes,high,low,high,high,high,ENFP
m,23-28,Engineer & Industrial,completed,B,Central,highschool-mathsci,no,high,low,mid,mid,high,ESTP
f,29-34,Arts & Humanities,completed,C+,Central,highschool-mathsci,yes,high,low,high,high,high,INFP
f,29-34,Sciences & Maths,completed,C,Central,highschool-mathsci,no,high,low,mid,mid,high,ISFP
f,23-28,Sciences & Maths,completed,B,West,highschool-mathsci,yes,mid,high,mid,mid,mid,INFJ
m,29-34,ICTs,completed,C+,NorthEast,highschool-art,yes,mid,low,mid,mid,mid,ISTP
f,29-34,Business and Law,completed,B,South,highschool-mathsci,no,mid,high,mid,high,low,INFP
f,29-34,Arts & Humanities,completed,C,East,highschool-art,no,high,low,high,high,high,ISFP
m,29-34,Health ,completed,B,Central,highschool-mathsci,no,mid,high,high,high,high,ESTJ
f,29-34,Social sciences & Journal,completed,C,East,highvocational,no,high,mid,mid,high,mid,INFJ
f,>23,Arts & Humanities,first,C+,South,vocational,yes,high,mid,high,high,mid,ISFP
f,23-28,Business and Law,completed,C+,West,highschool-mathsci,no,high,high,high,high,high,ISFP
f,23-28,Engineer & Industrial,forth,C,NorthEast,highschool-mathsci,no,high,mid,high,high,mid,ISFJ
m,35+,ICTs,completed,B,Central,highschool-mathsci,yes,high,low,mid,high,high,INFJ
f,29-34,Arts & Humanities,completed,B+,Central,highschool-mathsci,no,mid,high,mid,mid,mid,ISTJ
f,>23,Engineer & Industrial,first,B+,North,highschool-mathsci,no,high,low,high,high,high,ENFP
f,>23,Engineer & Industrial,second,C+,North,highschool-mathsci,yes,mid,high,high,high,high,ISTJ
f,>23,Engineer & Industrial,first,B,Central,highschool-mathsci,no,mid,mid,mid,mid,high,INTP
f,>23,Engineer & Industrial,first,C+,South,highschool-mathsci,no,high,low,high,mid,high,ISFP
m,>23,Engineer & Industrial,second,B+,East,highschool-mathsci,no,mid,low,mid,mid,mid,ENFJ
m,>23,Engineer & Industrial,second,C,West,highschool-mathsci,yes,high,mid,mid,high,high,ENTP
f,>23,Engineer & Industrial,first,C+,Central,highschool-mathsci,yes,low,low,high,mid,high,ESFP
m,>23,Engineer & Industrial,second,C+,Central,highschool-mathsci,no,mid,high,mid,mid,high,INFP
f,>23,Engineer & Industrial,second,C+,Central,highschool-mathsci,yes,mid,high,mid,mid,high,ESFP
f,>23,Engineer & Industrial,first,C+,South,highschool-mathsci,no,mid,mid,mid,mid,high,ESFP
m,>23,Engineer & Industrial,second,B+,Central,highschool-mathsci,yes,high,mid,high,mid,high,ENFP
LGBT,>23,Engineer & Industrial,second,C+,West,highschool-mathsci,yes,mid,mid,mid,mid,mid,ESFP
f,>23,Engineer & Industrial,first,C,Central,highschool-mathsci,yes,mid,mid,high,mid,mid,ESTJ
f,>23,Engineer & Industrial,first,B,East,highschool-mathsci,yes,high,high,high,high,high,ESFJ
m,>23,Engineer & Industrial,first,C+,South,highschool-mathsci,yes,high,high,high,high,mid,INFJ
f,>23,Engineer & Industrial,first,B,NorthEast,highschool-mathsci,yes,mid,mid,mid,high,mid,INFP
f,>23,Engineer & Industrial,first,C,West,highschool-mathsci,no,mid,low,high,mid,mid,ISFP
m,>23,Engineer & Industrial,first,B,Central,highschool-mathsci,yes,high,low,high,mid,mid,INTP
f,>23,Engineer & Industrial,second,C+,Central,highschool-mathsci,no,high,high,high,mid,high,ESFJ
f,>23,Engineer & Industrial,second,B,South,highschool-mathsci,no,high,mid,high,high,high,ESFP
f,>23,Engineer & Industrial,first,C+,South,highschool-mathsci,yes,mid,mid,high,high,high,ESTP
m,>23,Engineer & Industrial,first,C+,Central,highschool-mathsci,no,mid,mid,mid,mid,mid,ISTJ
m,>23,Engineer & Industrial,second,C+,South,highschool-mathsci,yes,high,low,mid,mid,mid,ISFP
f,>23,Engineer & Industrial,second,C,North,highschool-mathsci,yes,mid,mid,mid,mid,mid,ENFP
m,>23,Engineer & Industrial,first,B+,East,highschool-mathsci,yes,high,low,mid,mid,high,INTJ
f,>23,Engineer & Industrial,second,C+,East,highschool-mathsci,yes,high,low,mid,mid,high,ESTP
m,>23,Engineer & Industrial,second,B,Central,highschool-mathsci,yes,high,high,high,high,high,ENFP
f,29-34,Arts & Humanities,completed,C,South,highschool-art,yes,high,high,high,high,high,ESFP
f,>23,Engineer & Industrial,second,C+,NorthEast,highschool-mathsci,yes,high,mid,mid,high,high,ENFJ
m,>23,Engineer & Industrial,second,C,Central,highschool-mathsci,yes,high,low,high,high,high,ENFP
f,>23,Engineer & Industrial,second,C+,Central,highschool-mathsci,yes,mid,mid,high,mid,high,ENTP
m,>23,Engineer & Industrial,third,C,NorthEast,highschool-mathsci,yes,low,mid,high,mid,high,ISTP
f,>23,Engineer & Industrial,third,C+,Central,highschool-mathsci,no,low,high,mid,mid,mid,INTP
f,>23,Engineer & Industrial,first,B,Central,highschool-mathsci,yes,high,mid,mid,mid,high,ENFP
m,>23,Engineer & Industrial,first,B+,Central,highschool-mathsci,no,high,low,low,mid,mid,INFP
f,>23,Engineer & Industrial,first,B,NorthEast,highschool-mathsci,yes,high,low,mid,mid,mid,ENFP
f,>23,Engineer & Industrial,first,B,Central,highschool-mathsci,yes,mid,mid,mid,mid,high,ENFJ
f,>23,Engineer & Industrial,second,C+,South,highschool-mathsci,no,high,low,high,mid,high,ISTP
m,>23,Engineer & Industrial,second,C,East,highschool-mathsci,yes,high,mid,mid,high,high,ESTJ
f,>23,Engineer & Industrial,second,C,West,highschool-mathsci,no,mid,mid,mid,mid,high,ENFP
f,>23,Engineer & Industrial,first,B,South,highschool-mathsci,no,mid,low,high,mid,mid,ISTJ
LGBT,>23,Engineer & Industrial,second,C+,East,highschool-mathsci,yes,high,mid,mid,low,high,INTP
f,>23,Engineer & Industrial,second,B,Central,highschool-mathsci,yes,mid,high,high,mid,mid,ESFJ
f,>23,Engineer & Industrial,first,C,Central,highschool-mathsci,no,mid,low,high,mid,mid,INTJ
m,>23,Engineer & Industrial,first,C+,Central,highschool-mathsci,yes,mid,mid,high,mid,mid,ISFP
m,>23,Engineer & Industrial,first,B,West,highschool-mathsci,no,high,high,high,high,high,ISFP
m,>23,Engineer & Industrial,third,C+,Central,highschool-mathsci,yes,mid,low,high,high,high,INTJ
m,>23,Engineer & Industrial,second,B,NorthEast,highschool-mathsci,no,high,mid,high,mid,mid,INFP
m,>23,Engineer & Industrial,second,B+,Central,highschool-mathsci,no,high,mid,high,mid,high,ISFP
m,>23,Engineer & Industrial,first,B,East,highschool-mathsci,yes,high,mid,high,high,high,ESFJ
m,>23,Engineer & Industrial,first,C+,South,highschool-mathsci,no,high,mid,mid,mid,high,INTP
m,>23,Engineer & Industrial,first,B+,Central,highschool-mathsci,no,mid,high,mid,mid,mid,ISFP
f,>23,Engineer & Industrial,first,B,Central,highschool-mathsci,yes,high,mid,mid,mid,mid,ENFJ
f,>23,Engineer & Industrial,first,C,East,highschool-mathsci,yes,high,mid,high,mid,high,ESTP
m,>23,Engineer & Industrial,third,C+,NorthEast,highschool-mathsci,no,mid,high,high,mid,high,INFP
f,>23,Engineer & Industrial,first,B,Central,highschool-mathsci,yes,mid,low,mid,mid,mid,ENTP
f,>23,Engineer & Industrial,second,B,NorthEast,highschool-mathsci,yes,high,low,high,mid,mid,ESTJ
m,>23,Engineer & Industrial,third,C+,East,highschool-mathsci,yes,mid,low,mid,mid,high,ENTJ
m,>23,Engineer & Industrial,first,C+,Central,highschool-mathsci,yes,high,mid,mid,high,high,INFJ
m,>23,Engineer & Industrial,second,B,West,highschool-mathsci,yes,high,mid,high,mid,mid,INFJ
m,35+,Sciences & Maths,completed,C,NorthEast,highschool-mathsci,yes,high,mid,high,high,high,ESTJ
f,>23,Engineer & Industrial,second,C,Central,highschool-mathsci,no,mid,low,mid,high,high,ISFP
m,>23,Engineer & Industrial,first,C+,NorthEast,highschool-mathsci,yes,high,low,mid,high,high,ENFP
f,29-34,Health ,completed,B,Central,highschool-mathsci,no,high,low,high,mid,mid,ENTJ
f,>23,Arts & Humanities,first,C,South,highschool-mathsci,yes,high,mid,high,high,high,INTP
f,>23,Engineer & Industrial,second,C+,Central,highschool-mathsci,no,high,high,mid,mid,high,INFP
f,>23,Engineer & Industrial,second,A,Central,highschool-mathsci,no,mid,high,mid,high,high,INFJ
m,>23,Engineer & Industrial,first,B+,Central,highschool-mathsci,yes,low,mid,high,mid,mid,INTJ
f,>23,Engineer & Industrial,second,C+,NorthEast,highschool-mathsci,no,high,low,high,mid,high,ENTJ
m,>23,Engineer & Industrial,first,B+,North,highschool-mathsci,no,high,low,mid,high,mid,ENFP
f,>23,Engineer & Industrial,first,C,Central,highschool-mathsci,yes,high,mid,mid,mid,mid,ENFP
f,>23,Engineer & Industrial,first,C+,Central,highschool-mathsci,yes,mid,mid,mid,mid,mid,INTJ
m,35+,Engineer & Industrial,completed,C+,South,bachelor,no,high,low,high,high,high,ISTJ
m,>23,Engineer & Industrial,first,C+,East,highschool-mathsci,yes,high,mid,mid,mid,high,ESTP
LGBT,>23,Engineer & Industrial,first,C+,East,highschool-mathsci,yes,high,high,high,mid,high,ENTP
m,>23,Engineer & Industrial,second,B,Central,highschool-mathsci,yes,mid,high,high,high,high,ESTJ
f,>23,Engineer & Industrial,first,B,South,highschool-mathsci,yes,mid,mid,mid,mid,high,INFP
f,23-28,Business and Law,completed,B+,Central,vocational,yes,high,mid,high,high,high,ENTJ
f,23-28,Engineer & Industrial,second,C+,NorthEast,non-formal,no,mid,high,mid,high,high,ISTP
m,>23,Engineer & Industrial,first,C+,NorthEast,highschool-mathsci,no,mid,high,high,mid,high,ESFJ
f,23-28,Social sciences & Journal,completed,B,South,vocational,yes,high,mid,mid,mid,high,ENFP
m,35+,Social sciences & Journal,forth,C,Central,bachelor,no,low,low,high,high,high,ISFP
f,23-28,Education,first,C,Central,highschool-mathsci,no,mid,high,mid,mid,mid,INFP
m,23-28,Health ,completed,B,NorthEast,highschool-mathsci,no,low,high,mid,mid,high,ENFP
m,23-28,Social sciences & Journal,completed,B,Central,highschool-art,yes,mid,high,mid,mid,low,ENFJ
m,35+,Social sciences & Journal,completed,C,NorthEast,highschool-mathsci,no,high,low,high,mid,mid,ESFP
f,>23,Social sciences & Journal,completed,B,Central,vocational,yes,high,mid,mid,mid,high,ENTP
f,>23,Sciences & Maths,forth,B,NorthEast,highschool-mathsci,yes,mid,high,mid,high,mid,ESFP
m,23-28,Social sciences & Journal,completed,B,Central,highvocational,yes,mid,low,mid,mid,high,ENTP
f,>23,Social sciences & Journal,completed,B+,Central,highschool-art,no,mid,low,mid,mid,mid,INFP
m,>23,Social sciences & Journal,forth,B,Central,highschool-art,yes,mid,low,mid,mid,mid,INFP
f,23-28,Social sciences & Journal,completed,B+,Central,highschool-mathsci,yes,high,low,low,high,high,ENTJ
m,23-28,Business and Law,completed,B,North,highschool-art,no,high,high,mid,mid,high,ESFP
m,23-28,Business and Law,completed,B,South,highschool-art,yes,high,mid,mid,high,high,ENFP
f,23-28,Business and Law,completed,B+,Central,highschool-mathsci,no,high,high,high,mid,mid,ESTJ
m,23-28,Business and Law,completed,B+,East,vocational,yes,high,low,low,low,low,INFP
f,>23,Business and Law,completed,B+,Central,highschool-art,no,mid,mid,mid,mid,mid,ESFP
m,23-28,Business and Law,completed,B,Central,highschool-art,yes,high,high,mid,high,mid,ESFJ
f,23-28,Business and Law,completed,B,Central,highvocational,yes,mid,low,mid,mid,mid,ENFP
f,>23,Business and Law,completed,B,Central,highschool-art,yes,mid,low,mid,high,mid,ESFP
f,23-28,Business and Law,completed,C+,Central,highschool-mathsci,yes,mid,mid,high,high,mid,ENFJ
m,23-28,Business and Law,completed,B+,Central,vocational,yes,mid,mid,mid,mid,mid,ENFP
m,23-28,Business and Law,completed,B+,Central,highschool-art,no,high,mid,high,high,mid,ENTJ
f,>23,Business and Law,forth,B,NorthEast,highschool-mathsci,yes,mid,high,high,high,mid,ENTJ
f,23-28,Business and Law,completed,C+,South,highschool-art,yes,high,mid,high,high,high,ENFP
m,29-34,Social sciences & Journal,completed,B+,South,highschool-mathsci,no,high,low,high,mid,low,ENTJ
f,23-28,Social sciences & Journal,completed,B,NorthEast,highschool-mathsci,yes,high,low,mid,mid,mid,ESFP
m,23-28,Social sciences & Journal,forth,C,South,highschool-art,yes,high,high,high,high,high,ENFP
m,>23,Social sciences & Journal,third,B,Central,highschool-art,yes,mid,mid,mid,high,high,ENFP
m,>23,Social sciences & Journal,forth,B,Central,highschool-art,yes,mid,low,high,high,high,ENFP
f,29-34,Business and Law,completed,B,Central,highschool-mathsci,yes,high,high,high,high,high,INFP
m,>23,Social sciences & Journal,completed,B,Central,vocational,no,mid,high,mid,mid,mid,ENTJ
m,23-28,Social sciences & Journal,completed,B+,NorthEast,highschool-mathsci,yes,mid,low,low,mid,mid,ENFP
f,>23,Social sciences & Journal,forth,B,NorthEast,highschool-art,yes,mid,high,mid,mid,mid,INFP
f,23-28,Social sciences & Journal,completed,C,East,vocational,no,mid,low,mid,mid,low,INFP
m,35+,Sciences & Maths,completed,B,Central,highschool-mathsci,yes,high,low,high,high,low,INTJ
f,>23,Business and Law,second,B,Central,highschool-art,no,mid,high,mid,mid,high,INFJ
LGBT,35+,Business and Law,completed,B,Central,highschool-mathsci,no,high,low,low,low,high,INTJ
f,35+,Education,completed,C+,North,highschool-mathsci,yes,mid,high,mid,mid,mid,ENTP
f,35+,Social sciences & Journal,completed,C+,North,highvocational,no,high,mid,mid,high,mid,ESFP
f,>23,Education,forth,C+,NorthEast,highschool-mathsci,yes,mid,mid,high,mid,low,ENFP
LGBT,29-34,Arts & Humanities,completed,C+,Central,vocational,yes,high,mid,mid,mid,mid,ISFP
f,23-28,Arts & Humanities,completed,B+,Central,vocational,no,mid,high,mid,high,high,INTJ
f,29-34,Health ,completed,B,North,highschool-mathsci,no,high,high,high,high,high,INTP
f,35+,Business and Law,completed,C,North,highvocational,no,low,low,mid,mid,mid,INFP
m,29-34,Business and Law,forth,C+,South,highschool-mathsci,yes,mid,low,high,high,high,ESTP
f,23-28,Sciences & Maths,completed,B,Central,highschool-mathsci,no,high,mid,mid,mid,low,INFJ
f,35+,ICTs,completed,C+,South,highvocational,yes,mid,high,high,mid,high,ENFP
f,23-28,Social sciences & Journal,completed,B,Central,highschool-art,yes,high,mid,high,high,low,INTJ
f,>23,Education,third,C+,NorthEast,highschool-mathsci,yes,mid,mid,mid,mid,high,ENTP
m,29-34,Business and Law,completed,C,Central,highschool-mathsci,no,low,high,low,low,low,ESTJ
f,>23,Arts & Humanities,forth,B,Central,highschool-mathsci,no,mid,high,high,high,mid,ESFP
f,35+,ICTs,completed,C,South,highvocational,yes,high,low,high,high,high,ENTJ
m,23-28,Sciences & Maths,completed,C+,Central,highschool-mathsci,yes,mid,low,mid,mid,low,INFP
f,23-28,ICTs,completed,C,Central,highschool-mathsci,yes,mid,mid,high,high,high,ENTP
f,29-34,Arts & Humanities,completed,B,Central,highschool-art,no,mid,high,mid,mid,low,INFJ
LGBT,23-28,Business and Law,completed,B+,West,highschool-mathsci,yes,high,low,high,high,mid,INTJ
f,35+,Sciences & Maths,completed,C,NorthEast,highschool-mathsci,yes,mid,high,mid,mid,high,ENTJ
f,23-28,ICTs,completed,B,Central,highschool-mathsci,yes,low,low,high,high,high,ENTJ
f,29-34,Engineer & Industrial,completed,B+,North,highschool-mathsci,no,high,low,high,high,mid,ISTJ
f,35+,Arts & Humanities,completed,B,Central,highschool-mathsci,no,high,low,high,high,mid,ESTJ
f,29-34,Sciences & Maths,completed,C+,Central,highschool-mathsci,yes,mid,mid,mid,mid,low,ESTP
m,35+,Education,completed,B,NorthEast,highschool-mathsci,no,mid,high,low,mid,mid,ISFP
f,29-34,Health ,completed,B+,Central,highschool-mathsci,yes,high,mid,mid,high,high,ENTJ
f,29-34,Business and Law,completed,B+,Central,highschool-art,yes,mid,high,mid,mid,mid,INFP
m,>23,Health ,second,B,NorthEast,highschool-mathsci,yes,high,low,high,high,low,ENTJ
f,29-34,Education,completed,C+,South,highschool-art,no,mid,low,mid,high,high,ESTJ
f,23-28,Business and Law,completed,C+,NorthEast,highschool-mathsci,no,high,low,high,high,high,ISFJ
m,23-28,ICTs,completed,C+,North,highschool-art,no,mid,low,mid,high,mid,ISTP
m,>23,Health ,completed,B+,South,highschool-mathsci,no,mid,low,mid,mid,low,ISFP
LGBT,>23,Health ,completed,B,North,highschool-mathsci,yes,mid,high,mid,high,low,ENFP
m,23-28,Arts & Humanities,completed,B+,NorthEast,highschool-mathsci,yes,high,low,low,high,high,ENFP
f,>23,Education,first,B+,Central,highschool-mathsci,no,mid,mid,low,mid,mid,ISFP
f,23-28,Social sciences & Journal,completed,C+,Central,highschool-art,yes,mid,mid,mid,mid,high,ENTJ
f,29-34,Business and Law,completed,B,South,highvocational,no,high,low,high,high,low,INTP
m,29-34,Engineer & Industrial,completed,B,NorthEast,highschool-mathsci,no,high,mid,mid,mid,high,ISFP
m,23-28,Social sciences & Journal,completed,C+,South,highschool-art,yes,high,high,high,high,high,ENFP
f,29-34,ICTs,completed,B+,Central,vocational,no,mid,high,mid,high,high,ENFP
f,35+,Education,completed,B,South,highschool-mathsci,no,high,mid,low,mid,high,INTJ
f,29-34,ICTs,completed,C+,Central,highvocational,no,low,high,low,mid,low,ISFP
f,>23,Education,forth,B,NorthEast,highschool-mathsci,no,high,mid,mid,high,mid,ISTP
m,35+,Business and Law,completed,B,Central,highschool-mathsci,no,low,high,high,low,low,ISFP
LGBT,>23,Sciences & Maths,completed,B,Central,highschool-mathsci,no,high,mid,mid,mid,mid,INFP
m,23-28,Arts & Humanities,completed,C,South,highschool-art,yes,high,high,high,high,high,ENFP
f,23-28,Health ,completed,B+,NorthEast,highschool-mathsci,no,low,low,low,mid,low,ESTP
f,35+,ICTs,completed,B+,Central,highvocational,yes,high,high,high,high,high,ENTJ
f,35+,Social sciences & Journal,completed,C,East,highschool-art,yes,high,low,mid,mid,mid,ESFJ
f,35+,Sciences & Maths,completed,C+,East,highschool-mathsci,no,low,high,low,mid,mid,ISFJ
f,23-28,Health ,completed,B+,Central,highschool-mathsci,no,mid,mid,mid,mid,high,ISTP
f,23-28,Education,completed,C+,South,highschool-mathsci,yes,high,mid,mid,high,mid,ESFJ
m,35+,Sciences & Maths,completed,C,West,highschool-mathsci,no,mid,high,high,high,high,ESFP
f,35+,Sciences & Maths,completed,B+,Central,highschool-mathsci,no,high,low,mid,mid,high,ISFJ
f,23-28,Engineer & Industrial,completed,B+,NorthEast,highschool-mathsci,no,mid,mid,high,mid,high,ENTJ
f,23-28,Engineer & Industrial,completed,B+,East,highschool-mathsci,no,high,low,mid,high,mid,ISFJ
f,>23,Health ,completed,B,North,highschool-mathsci,no,mid,high,high,high,high,ENFP
m,35+,Sciences & Maths,completed,B,NorthEast,highschool-mathsci,yes,high,low,high,high,high,ISTP
m,35+,Sciences & Maths,completed,B,NorthEast,highschool-mathsci,yes,high,high,mid,high,mid,ESTJ
f,29-34,Business and Law,completed,C+,South,vocational,no,mid,high,high,mid,high,ESTJ
LGBT,29-34,Sciences & Maths,completed,C+,Central,highschool-mathsci,yes,high,low,mid,mid,high,ENFP
m,29-34,Social sciences & Journal,completed,C+,Central,highschool-mathsci,yes,mid,low,high,high,high,ESFJ
f,29-34,Arts & Humanities,completed,B+,NorthEast,highschool-art,yes,mid,high,low,mid,high,INFP
LGBT,29-34,Health ,completed,C+,North,highschool-mathsci,no,low,high,mid,mid,high,ENFJ
f,35+,Health ,completed,C+,North,highschool-art,yes,high,low,high,high,high,ESFP
f,23-28,Social sciences & Journal,completed,C+,South,highschool-mathsci,no,low,high,high,high,mid,INFP
f,29-34,Health ,completed,C+,NorthEast,highschool-mathsci,yes,mid,high,high,mid,high,ESFP
f,23-28,Sciences & Maths,forth,B,North,highschool-mathsci,yes,high,mid,mid,high,high,INFP
m,23-28,Engineer & Industrial,completed,B,Central,highschool-mathsci,no,high,mid,mid,low,high,INFP
f,35+,Arts & Humanities,completed,C+,Central,highschool-art,no,mid,high,high,mid,mid,ISFP
f,23-28,Business and Law,completed,B,Central,highschool-art,yes,mid,low,mid,mid,high,INFP
m,23-28,Engineer & Industrial,completed,C+,Central,highschool-mathsci,yes,mid,mid,high,high,high,ISTP
f,29-34,Arts & Humanities,completed,B,South,highschool-art,yes,high,mid,high,high,high,ENFP
f,35+,Business and Law,completed,B,Central,highvocational,no,high,high,high,high,high,ISFP
LGBT,23-28,Business and Law,completed,B,Central,highschool-art,yes,mid,high,high,high,high,ENFP
f,29-34,Health ,completed,B+,South,highschool-mathsci,no,mid,low,mid,mid,low,INFJ
m,23-28,ICTs,completed,B,South,highschool-mathsci,no,high,low,low,high,high,INTP
m,>23,Business and Law,forth,B,Central,highschool-art,yes,mid,mid,mid,high,high,INFP
f,23-28,Health ,completed,C,NorthEast,highschool-mathsci,no,mid,high,high,high,mid,ISFP
f,23-28,Arts & Humanities,completed,C,Central,highschool-art,yes,low,mid,high,mid,mid,ESFP
f,35+,Business and Law,completed,C+,East,highvocational,yes,mid,high,high,high,mid,ENTJ
f,35+,Engineer & Industrial,completed,C+,Central,highschool-mathsci,no,mid,low,low,mid,high,ISFP
f,23-28,Sciences & Maths,completed,C+,Central,highschool-mathsci,no,mid,high,high,mid,mid,ENFP
LGBT,23-28,Social sciences & Journal,completed,B,NorthEast,highschool-art,no,mid,mid,mid,mid,mid,ENFP
f,29-34,Social sciences & Journal,completed,B,Central,highschool-art,no,high,mid,high,mid,mid,INFP
m,>23,Sciences & Maths,completed,B,North,highschool-mathsci,no,mid,low,high,high,low,INTP
m,29-34,Business and Law,completed,C+,West,highschool-mathsci,no,high,low,high,high,high,ENFP
f,35+,Education,completed,C,Central,highschool-mathsci,no,high,mid,mid,high,high,ENFJ
m,29-34,Sciences & Maths,completed,B+,Central,highschool-mathsci,no,high,low,high,high,high,INFJ
f,35+,Education,completed,B+,NorthEast,highschool-mathsci,no,high,high,high,high,high,ENFP
m,>23,Health ,completed,C+,Central,highschool-mathsci,no,high,high,mid,high,high,ISTJ
LGBT,23-28,Sciences & Maths,completed,B+,Central,highschool-mathsci,yes,mid,mid,mid,mid,high,ENFP
f,29-34,Engineer & Industrial,completed,C,Central,highschool-mathsci,no,high,high,high,high,high,ISFJ
f,35+,Health ,completed,B+,Central,highschool-mathsci,yes,high,high,high,mid,high,ISTJ
f,35+,Sciences & Maths,completed,C,Central,highschool-mathsci,no,low,mid,high,high,mid,ISFJ
m,23-28,Engineer & Industrial,completed,B,NorthEast,highschool-mathsci,no,high,low,mid,mid,mid,ESTJ
f,35+,ICTs,completed,C,South,highvocational,no,high,low,high,high,high,INTP
f,35+,Health ,completed,B,Central,highschool-mathsci,yes,high,high,high,mid,high,ENFP
f,35+,Arts & Humanities,completed,B,South,highschool-mathsci,yes,high,low,high,high,low,INFP
f,>23,Business and Law,first,B+,Central,highvocational,yes,high,high,mid,mid,high,ISFP
f,>23,Business and Law,first,B,West,highvocational,yes,high,mid,mid,mid,high,ENTJ
LGBT,29-34,Health ,completed,C,Central,highschool-mathsci,no,high,high,high,low,high,ENTJ
f,35+,Arts & Humanities,completed,B,Central,highvocational,yes,high,mid,high,high,mid,ENTJ
LGBT,35+,Arts & Humanities,completed,C+,NorthEast,highschool-art,no,high,low,mid,mid,mid,INFJ
LGBT,23-28,Engineer & Industrial,completed,B+,South,highschool-art,yes,mid,mid,high,high,mid,ISTP
f,29-34,Arts & Humanities,completed,B,North,highschool-art,no,high,high,high,high,low,ISFJ
f,>23,Arts & Humanities,forth,B,Central,highschool-mathsci,yes,high,mid,high,high,mid,ENTP
f,23-28,Engineer & Industrial,completed,B,Central,highschool-mathsci,no,mid,low,high,high,high,ENFP
f,29-34,Arts & Humanities,completed,B,Central,highschool-mathsci,yes,high,mid,high,mid,high,ENTP
f,35+,Arts & Humanities,completed,A,North,highschool-art,yes,high,mid,high,mid,high,INTJ
f,23-28,Sciences & Maths,completed,C,Central,highschool-mathsci,yes,high,low,high,mid,low,ESFJ
m,23-28,Sciences & Maths,completed,B,South,highschool-mathsci,no,mid,high,high,high,high,ENFJ
LGBT,23-28,Social sciences & Journal,forth,B,North,highschool-art,no,mid,low,mid,mid,mid,INTP
f,23-28,Arts & Humanities,completed,C,South,highschool-art,no,high,low,high,high,high,INFJ
f,23-28,Sciences & Maths,completed,C,South,highschool-mathsci,no,mid,mid,high,high,mid,ISFJ
m,29-34,ICTs,completed,B,Central,highschool-mathsci,no,high,low,low,mid,high,ENFP
f,35+,Education,completed,C+,Central,highvocational,no,high,mid,high,high,high,ENFP
f,23-28,Health ,completed,B,North,highschool-mathsci,no,mid,mid,mid,high,mid,ESFJ
f,35+,Arts & Humanities,completed,B+,South,highschool-mathsci,yes,high,low,high,high,high,ENFP
f,35+,Social sciences & Journal,completed,B,Central,highschool-mathsci,yes,high,low,mid,mid,mid,ENTJ
f,29-34,Health ,completed,C+,North,highschool-mathsci,yes,mid,high,mid,mid,mid,INTJ
f,23-28,Education,completed,C+,Central,highschool-mathsci,no,high,mid,low,high,high,ESFJ
LGBT,29-34,Health ,completed,B,NorthEast,highschool-mathsci,no,mid,high,high,high,high,ISTP
m,35+,Engineer & Industrial,completed,C+,Central,highschool-mathsci,no,mid,high,high,mid,high,INTJ
f,29-34,Health ,completed,B,Central,highschool-mathsci,no,mid,low,mid,mid,high,ESFJ
f,>23,Health ,completed,C,Central,highschool-mathsci,yes,mid,high,high,high,low,ESTJ
f,29-34,Business and Law,completed,C+,NorthEast,highvocational,yes,mid,mid,mid,mid,high,ENFJ
f,29-34,Arts & Humanities,completed,C+,South,highschool-art,yes,high,high,high,high,high,ESFP
m,35+,Health ,completed,B,East,highschool-mathsci,no,high,high,high,high,high,ESTJ
LGBT,29-34,Social sciences & Journal,completed,B,Central,highschool-mathsci,yes,mid,low,low,low,low,ESFJ
m,29-34,ICTs,completed,B,Central,highschool-mathsci,no,high,high,high,high,high,ENTP
m,>23,Engineer & Industrial,first,B+,West,highschool-art,yes,high,high,high,high,high,ENFP
f,>23,Engineer & Industrial,first,B+,Central,highschool-mathsci,no,mid,mid,low,mid,low,INTP
